sampleId,address,portalUrl,expectedStatus,predictedStatus,expectedParcelIds,predictedParcelId,pass,statusPass,idPass,dataGapStatuses,blockedDatasetCount,relaxedDatasetCount,blockReasonSummary,topDataGapReasons,error
cook-005,"700 N LARRABEE ST GU-12, CHICAGO, IL",https://datacatalog.cookcountyil.gov,resolved,resolved,17091130181230,17091130181230,true,true,true,unavailable|missing,1,24,ydgz-vkrp:review_blocked_by_zero_cost+note:missing license metadata+note:missing terms metadata,Dataset is not tabular; cannot query via SODA. | HTTP 400 (query_failed). Retry later or verify portal availability.,
cook-006,"700 N LARRABEE ST GU114, CHICAGO, IL",https://datacatalog.cookcountyil.gov,resolved,resolved,17091130181331,17091130181331,true,true,true,missing|unavailable,1,24,ydgz-vkrp:review_blocked_by_zero_cost+note:missing license metadata+note:missing terms metadata,"Geocode lookup returned no valid point for the normalized address. Address: 700 N LARRABEE ST GU114, CHICAGO, IL. | Geocoding returned no location point.",
cook-007,"312 S OAK ST, PALATINE, IL",https://datacatalog.cookcountyil.gov,resolved,resolved,02233020350000,02233020350000,true,true,true,unavailable|missing,1,24,ydgz-vkrp:review_blocked_by_zero_cost+note:missing license metadata+note:missing terms metadata,Dataset is not tabular; cannot query via SODA. | Dataset is not tabular; cannot query via SODA.,
cook-008,"510 W ERIE ST 2-1, CHICAGO, IL",https://datacatalog.cookcountyil.gov,resolved,ambiguous,17091220101188,,false,false,false,missing|ambiguous|unavailable,1,24,ydgz-vkrp:review_blocked_by_zero_cost+note:missing license metadata+note:missing terms metadata,"Geocode lookup returned no valid point for the normalized address. Address: 510 W ERIE ST 2-1, CHICAGO, IL. | Assessor lookup returned multiple candidate parcels and tie-break rules could not select one. Candidates: parcel:17091220101188, parcel:17091220101197.",
cook-009,"510 W ERIE ST 3-39, CHICAGO, IL",https://datacatalog.cookcountyil.gov,resolved,resolved,17091220101262,17091220101262,true,true,true,missing|unavailable,1,24,ydgz-vkrp:review_blocked_by_zero_cost+note:missing license metadata+note:missing terms metadata,"Geocode lookup returned no valid point for the normalized address. Address: 510 W ERIE ST 3-39, CHICAGO, IL. | Geocoding returned no location point.",
cook-010,"550 N KINGSBURY ST 305, CHICAGO, IL",https://datacatalog.cookcountyil.gov,resolved,resolved,17091260121032,17091260121032,true,true,true,missing|unavailable,1,24,ydgz-vkrp:review_blocked_by_zero_cost+note:missing license metadata+note:missing terms metadata,"Geocode lookup returned no valid point for the normalized address. Address: 550 N KINGSBURY ST 305, CHICAGO, IL. | Geocoding returned no location point.",
cook-011,"600 N KINGSBURY ST 701, CHICAGO, IL",https://datacatalog.cookcountyil.gov,resolved,ambiguous,17091260221016,,false,false,false,ambiguous|unavailable|missing,1,24,ydgz-vkrp:review_blocked_by_zero_cost+note:missing license metadata+note:missing terms metadata,"Assessor lookup returned multiple candidate parcels and tie-break rules could not select one. Candidates: parcel:17091260221016, parcel:17091260141016, parcel:17091260181016, parcel:17091260201016. | Dataset is not tabular; cannot query via SODA.",
cook-012,"120 S HAMAN RD, INVERNESS, IL",https://datacatalog.cookcountyil.gov,resolved,resolved,02184010100000,02184010100000,true,true,true,unavailable|missing,1,24,ydgz-vkrp:review_blocked_by_zero_cost+note:missing license metadata+note:missing terms metadata,Dataset is not tabular; cannot query via SODA. | HTTP 400 (query_failed). Retry later or verify portal availability.,
nf-001,"PO BOX 100, HUTTO, TX 78634",https://data.wcad.org,not_found,not_found,,,true,true,true,missing,0,1,,"Geocode lookup returned no valid point for the normalized address. Address: PO BOX 100, HUTTO, TX 78634. | Assessor lookup and GIS parcel join returned no candidate parcels. Assessor candidates: 0. GIS candidates: 0.",
nf-002,"PO BOX 9000, CHICAGO, IL 60690",https://datacatalog.cookcountyil.gov,not_found,not_found,,,true,true,true,missing|unavailable,1,24,ydgz-vkrp:review_blocked_by_zero_cost+note:missing license metadata+note:missing terms metadata,"Geocode lookup returned no valid point for the normalized address. Address: PO BOX 9000, CHICAGO, IL 60690. | Assessor lookup and GIS parcel join returned no candidate parcels. Assessor candidates: 0. GIS candidates: 0.",
